"bimod","bistab","tree_type","cell"
FALSE,0,"tree_uni_scatter15",137
TRUE,85.9921379347805,"tree_tip_scatter15",137
TRUE,1.96464660174748,"tree_uni",126
FALSE,0,"tree_tip",126
FALSE,0,"tree_uni_scatter5",126
FALSE,0,"tree_tip_scatter5",126
FALSE,0,"tree_uni_scatter10",126
FALSE,0,"tree_tip_scatter10",126
FALSE,0,"tree_uni_scatter15",126
FALSE,0,"tree_tip_scatter15",126
TRUE,44.6317843984343,"tree_uni",171
TRUE,12.6126265805009,"tree_tip",171
TRUE,47.4748657700221,"tree_uni_scatter5",171
FALSE,0,"tree_tip_scatter5",171
TRUE,54.8021499522141,"tree_uni_scatter10",171
FALSE,0,"tree_tip_scatter10",171
FALSE,0,"tree_uni_scatter15",171
FALSE,0,"tree_tip_scatter15",171
FALSE,0,"tree_uni",57
FALSE,0,"tree_tip",57
FALSE,0,"tree_uni_scatter5",57
FALSE,0,"tree_tip_scatter5",57
FALSE,0,"tree_uni_scatter10",57
FALSE,0,"tree_tip_scatter10",57
FALSE,0,"tree_uni_scatter15",57
TRUE,35.9966906669558,"tree_tip_scatter15",57
TRUE,9.27340798252889,"tree_uni",128
TRUE,73.1874469230825,"tree_tip",128
FALSE,0,"tree_uni_scatter5",128
TRUE,72.9329953833641,"tree_tip_scatter5",128
FALSE,0,"tree_uni_scatter10",128
TRUE,74.5960686481348,"tree_tip_scatter10",128
FALSE,0,"tree_uni_scatter15",128
TRUE,79.823977403428,"tree_tip_scatter15",128
FALSE,0,"tree_uni",94
TRUE,73.2045259005385,"tree_tip",94
FALSE,0,"tree_uni_scatter5",94
TRUE,73.9429850139191,"tree_tip_scatter5",94
FALSE,0,"tree_uni_scatter10",94
TRUE,67.943593461691,"tree_tip_scatter10",94
FALSE,0,"tree_uni_scatter15",94
TRUE,70.3611930571022,"tree_tip_scatter15",94
FALSE,0,"tree_uni",129
TRUE,73.2061314328812,"tree_tip",129
FALSE,0,"tree_uni_scatter5",129
TRUE,77.178072762376,"tree_tip_scatter5",129
FALSE,0,"tree_uni_scatter10",129
TRUE,70.6033279534666,"tree_tip_scatter10",129
FALSE,0,"tree_uni_scatter15",129
TRUE,83.9280214893242,"tree_tip_scatter15",129
TRUE,22.4401964590336,"tree_uni",164
FALSE,0,"tree_tip",164
FALSE,0,"tree_uni_scatter5",164
FALSE,0,"tree_tip_scatter5",164
FALSE,0,"tree_uni_scatter10",164
FALSE,0,"tree_tip_scatter10",164
