"bimod","bistab","tree_type","cell"
FALSE,0,"tree_tip",56
FALSE,0,"tree_uni_scatter5",56
FALSE,0,"tree_tip_scatter5",56
FALSE,0,"tree_uni_scatter10",56
FALSE,0,"tree_tip_scatter10",56
FALSE,0,"tree_uni_scatter15",56
FALSE,0,"tree_tip_scatter15",56
FALSE,0,"tree_uni",90
FALSE,0,"tree_tip",90
FALSE,0,"tree_uni_scatter5",90
FALSE,0,"tree_tip_scatter5",90
FALSE,0,"tree_uni_scatter10",90
FALSE,0,"tree_tip_scatter10",90
FALSE,0,"tree_uni_scatter15",90
FALSE,0,"tree_tip_scatter15",90
FALSE,0,"tree_uni",136
FALSE,0,"tree_tip",136
FALSE,0,"tree_uni_scatter5",136
FALSE,0,"tree_tip_scatter5",136
FALSE,0,"tree_uni_scatter10",136
FALSE,0,"tree_tip_scatter10",136
FALSE,0,"tree_uni_scatter15",136
FALSE,0,"tree_tip_scatter15",136
FALSE,0,"tree_uni",138
FALSE,0,"tree_tip",138
FALSE,0,"tree_uni_scatter5",138
FALSE,0,"tree_tip_scatter5",138
FALSE,0,"tree_uni_scatter10",138
FALSE,0,"tree_tip_scatter10",138
FALSE,0,"tree_uni_scatter15",138
FALSE,0,"tree_tip_scatter15",138
TRUE,11.3890573108454,"tree_uni",137
TRUE,35.4675929765638,"tree_tip",137
FALSE,0,"tree_uni_scatter5",137
TRUE,34.1840972145883,"tree_tip_scatter5",137
FALSE,0,"tree_uni_scatter10",137
FALSE,0,"tree_tip_scatter10",137
FALSE,0,"tree_uni_scatter15",137
FALSE,0,"tree_tip_scatter15",137
FALSE,0,"tree_uni",126
FALSE,0,"tree_tip",126
FALSE,0,"tree_uni_scatter5",126
FALSE,0,"tree_tip_scatter5",126
FALSE,0,"tree_uni_scatter10",126
FALSE,0,"tree_tip_scatter10",126
FALSE,0,"tree_uni_scatter15",126
FALSE,0,"tree_tip_scatter15",126
FALSE,0,"tree_uni",171
TRUE,71.6990079999397,"tree_tip",171
FALSE,0,"tree_uni_scatter5",171
TRUE,72.7413886797258,"tree_tip_scatter5",171
FALSE,0,"tree_uni_scatter10",171
TRUE,82.7164928047324,"tree_tip_scatter10",171
FALSE,0,"tree_uni_scatter15",171
TRUE,85.191500558602,"tree_tip_scatter15",171
TRUE,38.5652522214146,"tree_uni",57
TRUE,78.1983982548147,"tree_tip",57
TRUE,44.1977731934089,"tree_uni_scatter5",57
TRUE,79.0949556685808,"tree_tip_scatter5",57
FALSE,0,"tree_uni_scatter10",57
TRUE,76.2083818759488,"tree_tip_scatter10",57
FALSE,0,"tree_uni_scatter15",57
TRUE,77.1776271399447,"tree_tip_scatter15",57
TRUE,3.86858914580743,"tree_uni",128
TRUE,60.5830185284462,"tree_tip",128
FALSE,0,"tree_uni_scatter5",128
TRUE,61.9602618254142,"tree_tip_scatter5",128
FALSE,0,"tree_uni_scatter10",128
TRUE,54.6142967744048,"tree_tip_scatter10",128
FALSE,0,"tree_uni_scatter15",128
TRUE,60.9540294141144,"tree_tip_scatter15",128
TRUE,2.56115356832002,"tree_uni",94
FALSE,0,"tree_tip",94
FALSE,0,"tree_uni_scatter5",94
FALSE,0,"tree_tip_scatter5",94
FALSE,0,"tree_uni_scatter10",94
FALSE,0,"tree_tip_scatter10",94
FALSE,0,"tree_uni_scatter15",94
FALSE,0,"tree_tip_scatter15",94
FALSE,0,"tree_uni",129
TRUE,60.5850976776199,"tree_tip",129
FALSE,0,"tree_uni_scatter5",129
TRUE,60.126969733786,"tree_tip_scatter5",129
FALSE,0,"tree_uni_scatter10",129
TRUE,63.1008294838548,"tree_tip_scatter10",129
FALSE,0,"tree_uni_scatter15",129
TRUE,71.4569451755304,"tree_tip_scatter15",129
TRUE,8.20224818124391,"tree_uni",164
TRUE,60.5822502046966,"tree_tip",164
FALSE,0,"tree_uni_scatter5",164
TRUE,60.372719281548,"tree_tip_scatter5",164
FALSE,0,"tree_uni_scatter10",164
FALSE,0,"tree_tip_scatter10",164
FALSE,0,"tree_uni_scatter15",164
FALSE,0,"tree_tip_scatter15",164
FALSE,0,"tree_uni",48
FALSE,0,"tree_tip",48
FALSE,0,"tree_uni_scatter5",48
FALSE,0,"tree_tip_scatter5",48
FALSE,0,"tree_uni_scatter10",48
FALSE,0,"tree_tip_scatter10",48
FALSE,0,"tree_uni_scatter15",48
FALSE,0,"tree_tip_scatter15",48
FALSE,0,"tree_uni",114
TRUE,20.4242850447809,"tree_tip",114
FALSE,0,"tree_uni_scatter5",114
FALSE,0,"tree_tip_scatter5",114
FALSE,0,"tree_uni_scatter10",114
FALSE,0,"tree_tip_scatter10",114
FALSE,0,"tree_uni_scatter15",114
FALSE,0,"tree_tip_scatter15",114
TRUE,63.0317248169816,"tree_uni",118
TRUE,20.2130810275766,"tree_tip",118
TRUE,64.1592935956371,"tree_uni_scatter5",118
FALSE,0,"tree_tip_scatter5",118
FALSE,0,"tree_uni_scatter10",118
FALSE,0,"tree_tip_scatter10",118
FALSE,0,"tree_uni_scatter15",118
TRUE,21.3151233380665,"tree_tip_scatter15",118
FALSE,0,"tree_uni",75
FALSE,0,"tree_tip",75
FALSE,0,"tree_uni_scatter5",75
FALSE,0,"tree_tip_scatter5",75
FALSE,0,"tree_uni_scatter10",75
TRUE,20.7688500402076,"tree_tip_scatter10",75
FALSE,0,"tree_uni_scatter15",75
FALSE,0,"tree_tip_scatter15",75
FALSE,0,"tree_uni",6
FALSE,0,"tree_tip",6
FALSE,0,"tree_uni_scatter5",6
FALSE,0,"tree_tip_scatter5",6
FALSE,0,"tree_uni_scatter10",6
FALSE,0,"tree_tip_scatter10",6
FALSE,0,"tree_uni_scatter15",6
FALSE,0,"tree_tip_scatter15",6
FALSE,0,"tree_uni",162
FALSE,0,"tree_tip",162
FALSE,0,"tree_uni_scatter5",162
FALSE,0,"tree_tip_scatter5",162
FALSE,0,"tree_uni_scatter10",162
FALSE,0,"tree_tip_scatter10",162
FALSE,0,"tree_uni_scatter15",162
FALSE,0,"tree_tip_scatter15",162
FALSE,0,"tree_uni",25
TRUE,55.758767100218,"tree_tip",25
FALSE,0,"tree_uni_scatter5",25
FALSE,0,"tree_tip_scatter5",25
FALSE,0,"tree_uni_scatter10",25
FALSE,0,"tree_tip_scatter10",25
FALSE,0,"tree_uni_scatter15",25
FALSE,0,"tree_tip_scatter15",25
FALSE,0,"tree_uni",31
TRUE,55.5336374119783,"tree_tip",31
FALSE,0,"tree_uni_scatter5",31
FALSE,0,"tree_tip_scatter5",31
FALSE,0,"tree_uni_scatter10",31
FALSE,0,"tree_tip_scatter10",31
FALSE,0,"tree_uni_scatter15",31
FALSE,0,"tree_tip_scatter15",31
TRUE,52.4662405403717,"tree_uni",81
FALSE,0,"tree_tip",81
FALSE,0,"tree_uni_scatter5",81
FALSE,0,"tree_tip_scatter5",81
FALSE,0,"tree_uni_scatter10",81
FALSE,0,"tree_tip_scatter10",81
TRUE,61.4461716113826,"tree_uni_scatter15",81
FALSE,0,"tree_tip_scatter15",81
FALSE,0,"tree_uni",165
FALSE,0,"tree_tip",165
FALSE,0,"tree_uni_scatter5",165
FALSE,0,"tree_tip_scatter5",165
FALSE,0,"tree_uni_scatter10",165
FALSE,0,"tree_tip_scatter10",165
FALSE,0,"tree_uni_scatter15",165
TRUE,50.5711041931972,"tree_tip_scatter15",165
FALSE,0,"tree_uni",20
FALSE,0,"tree_tip",20
FALSE,0,"tree_uni_scatter5",20
FALSE,0,"tree_tip_scatter5",20
FALSE,0,"tree_uni_scatter10",20
FALSE,0,"tree_tip_scatter10",20
FALSE,0,"tree_uni_scatter15",20
FALSE,0,"tree_tip_scatter15",20
TRUE,3.48889610715956,"tree_uni",58
FALSE,0,"tree_tip",58
FALSE,0,"tree_uni_scatter5",58
FALSE,0,"tree_tip_scatter5",58
FALSE,0,"tree_uni_scatter10",58
FALSE,0,"tree_tip_scatter10",58
FALSE,0,"tree_uni_scatter15",58
FALSE,0,"tree_tip_scatter15",58
FALSE,0,"tree_uni",156
FALSE,0,"tree_tip",156
FALSE,0,"tree_uni_scatter5",156
FALSE,0,"tree_tip_scatter5",156
FALSE,0,"tree_uni_scatter10",156
TRUE,29.4808925678784,"tree_tip_scatter10",156
FALSE,0,"tree_uni_scatter15",156
FALSE,0,"tree_tip_scatter15",156
FALSE,0,"tree_uni",21
FALSE,0,"tree_tip",21
FALSE,0,"tree_uni_scatter5",21
FALSE,0,"tree_tip_scatter5",21
FALSE,0,"tree_uni_scatter10",21
FALSE,0,"tree_tip_scatter10",21
FALSE,0,"tree_uni_scatter15",21
FALSE,0,"tree_tip_scatter15",21
FALSE,0,"tree_uni",24
FALSE,0,"tree_tip",24
FALSE,0,"tree_uni_scatter5",24
FALSE,0,"tree_tip_scatter5",24
FALSE,0,"tree_uni_scatter10",24
FALSE,0,"tree_tip_scatter10",24
FALSE,0,"tree_uni_scatter15",24
FALSE,0,"tree_tip_scatter15",24
FALSE,0,"tree_uni",174
TRUE,35.6520775010482,"tree_tip",174
FALSE,0,"tree_uni_scatter5",174
TRUE,35.6083258710735,"tree_tip_scatter5",174
FALSE,0,"tree_uni_scatter10",174
FALSE,0,"tree_tip_scatter10",174
FALSE,0,"tree_uni_scatter15",174
FALSE,0,"tree_tip_scatter15",174
FALSE,0,"tree_uni",173
FALSE,0,"tree_tip",173
FALSE,0,"tree_uni_scatter5",173
FALSE,0,"tree_tip_scatter5",173
FALSE,0,"tree_uni_scatter10",173
FALSE,0,"tree_tip_scatter10",173
FALSE,0,"tree_uni_scatter15",173
FALSE,0,"tree_tip_scatter15",173
FALSE,0,"tree_uni",135
TRUE,20.2376499169763,"tree_tip",135
FALSE,0,"tree_uni_scatter5",135
FALSE,0,"tree_tip_scatter5",135
FALSE,0,"tree_uni_scatter10",135
FALSE,0,"tree_tip_scatter10",135
FALSE,0,"tree_uni_scatter15",135
FALSE,0,"tree_tip_scatter15",135
FALSE,0,"tree_uni",176
FALSE,0,"tree_tip",176
FALSE,0,"tree_uni_scatter5",176
FALSE,0,"tree_tip_scatter5",176
FALSE,0,"tree_uni_scatter10",176
FALSE,0,"tree_tip_scatter10",176
FALSE,0,"tree_uni_scatter15",176
FALSE,0,"tree_tip_scatter15",176
FALSE,0,"tree_uni",134
FALSE,0,"tree_tip",134
FALSE,0,"tree_uni_scatter5",134
FALSE,0,"tree_tip_scatter5",134
FALSE,0,"tree_uni_scatter10",134
FALSE,0,"tree_tip_scatter10",134
FALSE,0,"tree_uni_scatter15",134
FALSE,0,"tree_tip_scatter15",134
FALSE,0,"tree_uni",72
FALSE,0,"tree_tip",72
FALSE,0,"tree_uni_scatter5",72
FALSE,0,"tree_tip_scatter5",72
FALSE,0,"tree_uni_scatter10",72
FALSE,0,"tree_tip_scatter10",72
FALSE,0,"tree_uni_scatter15",72
FALSE,0,"tree_tip_scatter15",72
TRUE,0.691846789915546,"tree_uni",142
FALSE,0,"tree_tip",142
FALSE,0,"tree_uni_scatter5",142
FALSE,0,"tree_tip_scatter5",142
FALSE,0,"tree_uni_scatter10",142
FALSE,0,"tree_tip_scatter10",142
FALSE,0,"tree_uni_scatter15",142
FALSE,0,"tree_tip_scatter15",142
FALSE,0,"tree_uni",107
FALSE,0,"tree_tip",107
FALSE,0,"tree_uni_scatter5",107
FALSE,0,"tree_tip_scatter5",107
FALSE,0,"tree_uni_scatter10",107
TRUE,12.3232527087416,"tree_tip_scatter10",107
FALSE,0,"tree_uni_scatter15",107
FALSE,0,"tree_tip_scatter15",107
FALSE,0,"tree_uni",99
