"TJJA_start","TJJA_stop","tree","type","samples"
8.75,9.75,52.1608019347976,"max",279
8.75,9.75,74.3749965292462,"max",279
9,10,37.5248256533906,"min",282
9,10,20.5079392150369,"max",282
9,10,53.3475446223861,"max",282
9.25,10.25,25.9822122594318,"max",297
9.5,10.5,73.2758121917627,"min",341
9.5,10.5,38.2250323182626,"max",341
9.5,10.5,84.173953833103,"max",341
9.75,10.75,70.2838707360788,"min",370
9.75,10.75,41.191179391235,"max",370
9.75,10.75,86.7403426079097,"max",370
10,11,67.0535830504373,"min",398
10,11,42.5101801081128,"max",398
10,11,85.6038294603338,"max",398
10.25,11.25,64.9667761654699,"min",392
10.25,11.25,45.3837739147191,"max",392
10.25,11.25,85.968836550333,"max",392
10.5,11.5,86.7563449851789,"max",370
10.75,11.75,86.0265922654715,"max",371
11,12,86.8182333464965,"max",352
11.25,12.25,85.7230822596853,"max",354
11.5,12.5,84.2820678461882,"max",378
11.75,12.75,84.6423873557979,"max",388
12,13,75.5207141090646,"max",431
12.25,13.25,89.0176694533602,"max",459
12.5,13.5,26.7894626854845,"min",471
12.5,13.5,23.1909135492692,"max",471
12.5,13.5,69.4184293760352,"max",471
12.75,13.75,26.4384194581695,"min",538
12.75,13.75,18.7002105319937,"max",538
12.75,13.75,79.5004235233745,"max",538
13,14,29.3859492054527,"min",584
13,14,16.4429854240137,"max",584
13,14,71.2440448390429,"max",584
13.25,14.25,28.9222080111274,"min",624
13.25,14.25,15.8841800173744,"max",624
13.25,14.25,80.2594432365299,"max",624
13.5,14.5,29.4610541739046,"min",657
13.5,14.5,16.938789423743,"max",657
13.5,14.5,81.4151313288306,"max",657
13.75,14.75,29.4969078944511,"min",673
13.75,14.75,25.9403754680848,"max",673
13.75,14.75,81.8287421681272,"max",673
14,15,83.0673938359793,"max",685
14.25,15.25,82.8386468665587,"max",705
14.5,15.5,84.9032524740695,"max",792
14.75,15.75,85.6868713745362,"max",855
15,16,85.6782225352773,"max",884
15.25,16.25,86.1949313520745,"max",1016
15.5,16.5,85.2459192228346,"max",1109
15.75,16.75,38.3142150353175,"min",1212
15.75,16.75,29.1028708917146,"max",1212
15.75,16.75,85.2083306754779,"max",1212
16,17,24.6175560166724,"min",1427
16,17,39.1434383330595,"min",1427
16,17,13.1644564979825,"max",1427
16,17,31.3218093934664,"max",1427
16,17,85.5145241892185,"max",1427
16.25,17.25,42.0871452932682,"min",1674
16.25,17.25,12.9854261880011,"max",1674
16.25,17.25,85.1800755068367,"max",1674
16.5,17.5,42.1720265678843,"min",1947
16.5,17.5,13.1032037258789,"max",1947
16.5,17.5,85.0831460013207,"max",1947
16.75,17.75,43.1931055050924,"min",2333
16.75,17.75,13.9631620258465,"max",2333
16.75,17.75,85.1434873503065,"max",2333
17,18,46.4918772312468,"min",2679
17,18,17.641797522602,"max",2679
17,18,84.9586501761064,"max",2679
17.25,18.25,45.4655838538236,"min",2799
17.25,18.25,60.9349041287896,"min",2799
17.25,18.25,32.6181822695299,"max",2799
17.25,18.25,58.0507935690502,"max",2799
17.25,18.25,84.5321723448394,"max",2799
17.5,18.5,42.6087656824809,"min",2711
17.5,18.5,62.9850365120069,"min",2711
17.5,18.5,33.2043329919304,"max",2711
17.5,18.5,58.2828201667317,"max",2711
17.5,18.5,84.4062443071496,"max",2711
17.75,18.75,83.8197875028045,"max",2522
18,19,83.0072465162338,"max",2212
18.25,19.25,82.1475591923339,"max",1869
18.5,19.5,82.7837502924963,"max",1630
18.75,19.75,83.5693811068863,"max",1304
19,20,84.6643624247271,"max",1071
19.25,20.25,33.8081975259883,"min",920
19.25,20.25,27.5451743526119,"max",920
19.25,20.25,86.2610166030153,"max",920
19.5,20.5,33.8158424603583,"min",819
19.5,20.5,25.6097672273377,"max",819
19.5,20.5,86.4935512142648,"max",819
19.75,20.75,38.6235810333921,"min",725
19.75,20.75,28.1434550028543,"max",725
19.75,20.75,85.5221450200491,"max",725
20,21,39.8620702012497,"min",596
20,21,31.8100601560529,"max",596
20,21,85.5767078772058,"max",596
20.25,21.25,84.0090845286051,"max",463
20.5,21.5,41.7745896718711,"min",335
20.5,21.5,33.6103814985725,"max",335
20.5,21.5,81.2788227684772,"max",335
20.75,21.75,80.4853223509332,"max",263
21,22,28.4740317268203,"max",195
21,22,80.0754722253993,"max",195
21.25,22.25,81.1194329328476,"max",148
21.5,22.5,81.2911474969793,"max",96
21.75,22.75,8.55685632527458,"max",49
21.75,22.75,78.5358752461295,"max",49
22,23,44.9364942797018,"min",21
22,23,9.42225654975665,"max",21
22,23,81.7343791565123,"max",21
22.25,23.25,10.0032582562652,"max",21
22.25,23.25,79.2170104973643,"max",21
22.5,23.5,9.85549714324237,"max",26
22.75,23.75,11.2771263928829,"max",26
23,24,14.4752648331839,"max",32
23.25,24.25,12.329487252522,"max",23
23.5,24.5,12.6416694415281,"max",16
